Chemical,Concentration,304SS,316SS,Carbon_Steel,Polypropylene,PVDF,Buna_N,EPDM,Viton,Silicone,PTFE,Polyester_Media,Polypropylene_Media,PTFE_Media,Stainless_Media,Max_Temp_Note
Water (Process),N/A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,Standard
Water (Deionized),N/A,B,A,D,A,A,A,A,A,A,A,A,A,A,A,Aggressive to carbon steel
Sodium Hydroxide (Caustic),10%,B,A,D,A,A,D,A,D,B,A,D,A,A,A,Verify above 150F
Sodium Hydroxide (Caustic),50%,D,B,D,B,A,D,A,D,D,A,D,B,A,A,Engineering review >120F
Hydrochloric Acid,10%,D,B,D,A,A,D,D,A,D,A,D,A,A,B,Max 100F recommended
Hydrochloric Acid,37%,D,D,D,B,A,D,D,B,D,A,D,B,A,D,Engineering review required
Sulfuric Acid,10%,B,A,D,A,A,D,B,A,D,A,D,A,A,A,Verify above 120F
Sulfuric Acid,93%,D,D,D,D,A,D,D,D,D,A,D,D,A,D,Engineering review required
Phosphoric Acid,10%,B,A,D,A,A,D,B,A,D,A,D,A,A,A,Standard
Phosphoric Acid,85%,D,B,D,B,A,D,D,A,D,A,D,B,A,B,Verify above 100F
Acetic Acid,10%,B,A,D,A,A,B,A,D,A,A,B,A,A,A,Standard
Acetic Acid,Glacial,D,B,D,A,A,D,B,D,B,A,D,A,A,B,Engineering review >120F
Nitric Acid,10%,A,A,D,A,A,D,D,D,D,A,D,A,A,A,Standard
Nitric Acid,65%,B,A,D,D,A,D,D,D,D,A,D,D,A,A,Max 120F
Sodium Hypochlorite (Bleach),5%,B,A,D,A,A,D,A,D,D,A,D,A,A,A,Standard
Sodium Hypochlorite (Bleach),15%,D,B,D,A,A,D,B,D,D,A,D,A,A,A,Verify above 100F
Hydrogen Peroxide,3%,A,A,D,A,A,B,A,A,B,A,B,A,A,A,Standard
Hydrogen Peroxide,30%,B,A,D,A,A,D,B,B,D,A,D,A,A,A,Engineering review >120F
Ethanol,95%,A,A,B,A,A,B,A,A,A,A,B,A,A,A,Standard
Methanol,100%,A,A,B,A,A,D,A,B,B,A,D,A,A,A,Verify seal compatibility
Isopropanol (IPA),100%,A,A,B,A,A,B,A,B,A,A,B,A,A,A,Standard
Acetone,100%,A,A,B,D,A,D,D,D,D,A,D,D,A,A,Limited plastic compatibility
Toluene,100%,A,A,A,D,D,D,D,A,D,A,D,D,A,A,Viton required for seals
Xylene,100%,A,A,A,D,D,D,D,A,D,A,D,D,A,A,Viton required for seals
Diesel Fuel,N/A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,EPDM not compatible with oil
Hydraulic Oil,N/A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,EPDM not compatible with oil
Motor Oil,N/A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,Standard
Ethylene Glycol,50%,A,A,B,A,A,A,A,A,A,A,A,A,A,A,Standard
Citric Acid,10%,A,A,D,A,A,B,A,A,A,A,B,A,A,A,Common CIP chemical
Beer,N/A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,FDA materials required
Wine,N/A,A,A,D,A,A,B,A,A,A,A,B,A,A,A,FDA materials required
Juice,N/A,A,A,D,A,A,B,A,A,A,A,B,A,A,A,FDA materials required
Milk,N/A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,3-A certification required
Steam (CIP),N/A,B,A,D,D,B,D,A,D,A,A,D,D,A,A,Max 300F for EPDM
Ammonia,10%,B,A,D,A,A,A,D,D,A,A,A,A,A,A,Viton NOT compatible
Ferric Chloride,10%,D,B,D,A,A,D,B,A,D,A,D,A,A,B,Aggressive to metals
Sodium Carbonate,10%,A,A,B,A,A,A,A,A,A,A,A,A,A,A,Standard
Potassium Hydroxide,10%,B,A,D,A,A,D,A,D,B,A,D,A,A,A,Similar to NaOH
Chlorine Gas (dissolved),5 ppm,B,A,D,A,A,D,A,D,D,A,D,A,A,A,Common in water treatment